Force Your Way,3:51,THE BLACK MAGES,The Black Mages,Rock,80
Battle Scene Ⅱ,3:52,THE BLACK MAGES,The Black Mages,Rock,80
The Decisive Battle,4:03,THE BLACK MAGES,The Black Mages,Rock,100
Battle Theme,3:22,THE BLACK MAGES,The Black Mages,Rock,100
J-E-N-O-V-A,6:09,THE BLACK MAGES,The Black Mages,Rock,80
Those Who Fight Further,4:25,THE BLACK MAGES,The Black Mages,Rock,100
Dancing Mad,12:05,THE BLACK MAGES,The Black Mages,Rock,60
Fight With Seymour,5:05,THE BLACK MAGES,The Black Mages,Rock,40
The Rocking Grounds,3:56,THE BLACK MAGES,The Skies Above,Soundtrack,100
Zeromus,3:52,THE BLACK MAGES,The Skies Above,Soundtrack,80
Vamo' Alla Flamenco,4:25,THE BLACK MAGES,The Skies Above,Soundtrack,100
Hunter's Chance,4:45,THE BLACK MAGES,The Skies Above,Soundtrack,100
Otherworld,3:15,THE BLACK MAGES,The Skies Above,Soundtrack,40
Matoya's Cave,4:44,THE BLACK MAGES,The Skies Above,Soundtrack,100
The Man With the Machine Gun,4:17,THE BLACK MAGES,The Skies Above,Soundtrack,80
Maybe I'm A Lion,5:35,THE BLACK MAGES,The Skies Above,Soundtrack,80
Battle with the Four Fiends,3:59,THE BLACK MAGES,The Skies Above,Soundtrack,80
The Skies Above,7:19,THE BLACK MAGES,The Skies Above,Soundtrack,40
Blue Blast - Winning the Rainbow,4:49,THE BLACK MAGES,The Skies Above,Soundtrack,80
Opening - Bombing Mission,4:39,THE BLACK MAGES,Darkness and Starlight,Soundtrack,80
Neo EXDEATH,4:39,THE BLACK MAGES,Darkness and Starlight,Soundtrack,80
The Extreme,5:51,THE BLACK MAGES,Darkness and Starlight,Soundtrack,80
Assault of the Silver Dragon,5:01,THE BLACK MAGES,Darkness and Starlight,Soundtrack,80
KURAYAMINOKUMO,4:56,THE BLACK MAGES,Darkness and Starlight,Soundtrack,80
Distant Worlds,7:32,THE BLACK MAGES,Darkness and Starlight,Soundtrack,80
Premonition,5:23,THE BLACK MAGES,Darkness and Starlight,Soundtrack,60
Grand Cross,5:34,THE BLACK MAGES,Darkness and Starlight,Soundtrack,80
Darkness and Starlight,15:32,THE BLACK MAGES,Darkness and Starlight,Soundtrack,40
LIFE ~in memory of KEITEN~,1:38,THE BLACK MAGES,Darkness and Starlight,Soundtrack,100
More Than a Feeling,4:45,Boston,Boston,Rock,100
Peace of Mind,5:04,Boston,Boston,Rock,100
Foreplay/Long Time,7:48,Boston,Boston,Rock,100
Rock N Roll Band,3:00,Boston,Boston,Rock,80
Smokin',4:21,Boston,Boston,Rock,80
Hitch a Ride,4:12,Boston,Boston,Rock,60
Something About You,3:48,Boston,Boston,Rock,100
Let Me Take You Home Tonight,4:47,Boston,Boston,Rock,40
Hangin' Around,3:03,The Edgar Winter Group,They Only Come Out at Night,Rock,100
When It Comes,3:16,The Edgar Winter Group,They Only Come Out at Night,Rock,20
Alta Mira,3:19,The Edgar Winter Group,They Only Come Out at Night,Rock,60
Free Ride,3:08,The Edgar Winter Group,They Only Come Out at Night,Rock,100
Undercover Man,3:50,The Edgar Winter Group,They Only Come Out at Night,Rock,40
Round & Round,4:00,The Edgar Winter Group,They Only Come Out at Night,Rock,60
Rock 'n' Roll Boogie Woogie Blues,3:26,The Edgar Winter Group,They Only Come Out at Night,Rock,60
Autumn,3:01,The Edgar Winter Group,They Only Come Out at Night,Rock,60
We All Had A Real Good Time,3:05,The Edgar Winter Group,They Only Come Out at Night,Rock,80
